mAP,opoznienie_ms,nr_klatki
0.0000,16450.74,1
0.0000,53.68,2
0.0000,42.02,3
0.0000,45.80,4
0.0000,44.62,5
0.0000,43.52,6
0.0000,61.92,7
0.0000,43.04,8
0.0000,40.23,9
0.0000,55.83,10
0.0000,54.60,11
0.0000,39.57,12
0.0000,47.48,13
0.0000,41.36,14
0.4893,1699.04,15
0.5720,43.39,16
0.4307,53.22,17
0.4716,53.10,18
0.5093,43.42,19
0.4848,43.70,20
0.3964,48.06,21
0.3987,40.62,22
0.4198,42.08,23
0.4783,51.52,24
0.4973,61.86,25
0.5474,42.60,26
0.5049,48.09,27
0.5053,44.71,28
0.4956,42.06,29
0.5006,42.76,30
0.4377,86.91,31
0.4908,40.50,32
0.4484,42.51,33
0.4487,42.22,34
0.4789,43.42,35
0.4739,42.30,36
0.4292,42.81,37
0.4385,47.22,38
0.4392,44.92,39
0.4406,41.59,40
0.4034,40.60,41
0.4573,48.39,42
0.4836,43.02,43
0.4668,44.26,44
0.4596,58.83,45
0.4594,47.73,46
0.4950,66.83,47
0.4410,42.07,48
0.3933,42.07,49
0.4616,51.77,50
0.4633,41.59,51
0.4664,41.61,52
0.5013,45.72,53
0.5110,40.74,54
0.5307,49.14,55
0.4875,46.95,56
0.4685,42.66,57
0.4685,43.93,58
0.4577,48.36,59
0.5089,43.32,60
0.4732,55.64,61
0.5136,45.98,62
0.4917,58.85,63
0.4943,41.56,64
0.4912,50.81,65
0.4740,41.77,66
0.4687,55.51,67
0.4835,55.91,68
0.5015,43.22,69
0.5017,42.22,70
0.4615,43.53,71
0.4791,43.48,72
0.5077,58.11,73
0.5190,43.84,74
0.5209,49.99,75
0.5208,42.76,76
0.5016,45.89,77
0.4576,42.96,78
0.5019,41.59,79
0.5388,43.19,80
0.5190,40.45,81
0.5173,40.52,82
0.4402,43.05,83
0.4661,71.62,84
0.4486,40.60,85
0.4348,41.09,86
0.4664,41.52,87
0.4633,40.43,88
0.4766,42.29,89
0.4869,40.61,90
0.4604,40.83,91
0.5013,43.10,92
0.4864,40.36,93
0.4857,42.36,94
0.4989,42.77,95
0.4281,40.72,96
0.4621,73.51,97
0.5074,64.96,98
0.5057,47.45,99
0.5049,42.02,100
0.4394,49.10,101
0.4979,42.49,102
0.4928,53.74,103
0.4409,42.14,104
0.3905,51.58,105
0.3928,68.75,106
0.4114,52.57,107
0.3694,43.15,108
0.4573,53.54,109
0.3442,41.42,110
0.3852,40.56,111
0.3844,40.09,112
0.3680,43.57,113
0.4177,54.81,114
0.3773,41.25,115
0.5173,45.21,116
0.5199,44.46,117
0.5182,44.71,118
